SR Text,Conditions,Actions,Role,Keywords,Current Paragraph,Previous Paragraph,Next Paragraph,Section Number,Section Title,Section Level,Paragraph Index,Sentence Index,status_code,field_name,content_coding,method,syntax,class,First_Keyword
"If the server has a preferred choice, the server SHOULD generate a Location header field containing a preferred choice's URI reference",The server has a preferred choice,The server SHOULD generate a Location header field containing a preferred choice's URI reference,Server,SHOULD,"If the server has a preferred choice, the server SHOULD generate a Location header field containing a preferred choice's URI reference. The user agent MAY use the Location field value for automatic redirection.","The 300 (Multiple Choices) status code indicates that the target resource has more than one representation, each with its own more specific identifier, and information about the alternatives is being provided so that the user (or user agent) can select a preferred representation by redirecting its request to one or more of those identifiers. In other words, the server desires that the user agent engage in reactive negotiation to select the most appropriate representation(s) for its needs (Section 12).","For request methods other than HEAD, the server SHOULD generate content in the 300 response containing a list of representation metadata and URI reference(s) from which the user or user agent can choose the one most preferred. The user agent MAY make a selection from that list automatically if it understands the provided media type. A specific format for automatic selection is not defined by this specification because HTTP tries to remain orthogonal to the definition of its content. In practice, the representation is provided in some easily parsed format believed to be acceptable to the user agent, as determined by shared design or content negotiation, or in some commonly accepted hypertext format.",15.4.1,300 Multiple Choices,3,2,1,,Location,,,,,SHOULD
"For request methods other than HEAD, the server SHOULD generate content in the 300 response containing a list of representation metadata and URI reference(s) from which the user or user agent can choose the one most preferred.",For request methods other than HEAD,The server SHOULD generate content in the 300 response containing a list of representation metadata and URI reference(s) from which the user or user agent can choose the one most preferred.,Server,SHOULD,"For request methods other than HEAD, the server SHOULD generate content in the 300 response containing a list of representation metadata and URI reference(s) from which the user or user agent can choose the one most preferred. The user agent MAY make a selection from that list automatically if it understands the provided media type. A specific format for automatic selection is not defined by this specification because HTTP tries to remain orthogonal to the definition of its content. In practice, the representation is provided in some easily parsed format believed to be acceptable to the user agent, as determined by shared design or content negotiation, or in some commonly accepted hypertext format.","If the server has a preferred choice, the server SHOULD generate a Location header field containing a preferred choice's URI reference. The user agent MAY use the Location field value for automatic redirection.","A 300 response is heuristically cacheable; i.e., unless otherwise indicated by the method definition or explicit cache controls (see Section 4.2.2 of [CACHING]).",15.4.1,300 Multiple Choices,3,3,1,300,,,HEAD,,,SHOULD
The server SHOULD generate a Location header field in the response containing a preferred URI reference for the new permanent URI.,When responding with a 301 (Moved Permanently) status code indicating that the target resource has been permanently moved.,The server SHOULD generate a Location header field in the response containing a preferred URI reference for the new permanent URI.,Server,SHOULD,The server SHOULD generate a Location header field in the response containing a preferred URI reference for the new permanent URI. The user agent MAY use the Location field value for automatic redirection. The server's response content usually contains a short hypertext note with a hyperlink to the new URI(s).,"The 301 (Moved Permanently) status code indicates that the target resource has been assigned a new permanent URI and any future references to this resource ought to use one of the enclosed URIs. The server is suggesting that a user agent with link-editing capability can permanently replace references to the target URI with one of the new references sent by the server. However, this suggestion is usually ignored unless the user agent is actively editing references (e.g., engaged in authoring content), the connection is secured, and the origin server is a trusted authority for the content being edited.","A 301 response is heuristically cacheable; i.e., unless otherwise indicated by the method definition or explicit cache controls (see Section 4.2.2 of [CACHING]).",15.4.2,301 Moved Permanently,3,2,1,,Location,,,,,SHOULD
The server SHOULD generate a Location header field in the response containing a URI reference for the different URI.,"When the server is issuing a redirection response (e.g., 302 Found) indicating that the target resource temporarily resides under a different URI",The server SHOULD generate a Location header field in the response containing a URI reference for the different URI,Server,SHOULD,The server SHOULD generate a Location header field in the response containing a URI reference for the different URI. The user agent MAY use the Location field value for automatic redirection. The server's response content usually contains a short hypertext note with a hyperlink to the different URI(s).,"The 302 (Found) status code indicates that the target resource resides temporarily under a different URI. Since the redirection might be altered on occasion, the client ought to continue to use the target URI for future requests.",,15.4.3,302 Found,3,2,1,,Location,,,,,SHOULD
The server generating a 304 response MUST generate any of the following header fields that would have been sent in a 200 (OK) response to the same request:,"When the server is generating a 304 (Not Modified) response, indicating that a conditional GET or HEAD request was received and the condition evaluated to false.","The server MUST generate any of the header fields that would have been sent in a 200 (OK) response to the same request, specifically including header fields such as Content-Location, Date, ETag, and Vary.",Server,MUST,The server generating a 304 response MUST generate any of the following header fields that would have been sent in a 200 (OK) response to the same request:,"The 304 (Not Modified) status code indicates that a conditional GET or HEAD request has been received and would have resulted in a 200 (OK) response if it were not for the fact that the condition evaluated to false. In other words, there is no need for the server to transfer a representation of the target resource because the request indicates that the client, which made the request conditional, already has a valid representation; the server is therefore redirecting the client to make use of that stored representation as if it were the content of a 200 (OK) response.","* Content-Location, Date, ETag, and Vary",15.4.5,304 Not Modified,3,2,1,"200,304",,,,,,MUST
"Since the goal of a 304 response is to minimize information transfer when the recipient already has one or more cached representations, a sender SHOULD NOT generate representation metadata other than the above listed fields unless said metadata exists for the purpose of guiding cache updates (e.g., Last-Modified might be useful if the response does not have an ETag field).","When generating a 304 response intended for a recipient that already has one or more cached representations,When no metadata is being produced for the purpose of guiding cache updates","The sender SHOULD NOT generate representation metadata other than the above listed fields, unless the metadata exists for the purpose of guiding cache updates",Sender,SHOULD NOT,"Since the goal of a 304 response is to minimize information transfer when the recipient already has one or more cached representations, a sender SHOULD NOT generate representation metadata other than the above listed fields unless said metadata exists for the purpose of guiding cache updates (e.g., Last-Modified might be useful if the response does not have an ETag field).",* Cache-Control and Expires (see [CACHING]),"Requirements on a cache that receives a 304 response are defined in Section 4.3.4 of [CACHING]. If the conditional request originated with an outbound client, such as a user agent with its own cache sending a conditional GET to a shared proxy, then the proxy SHOULD forward the 304 response to that client.",15.4.5,304 Not Modified,3,5,1,304,"ETag,Last-Modified",,,,,SHOULD
The server SHOULD generate a Location header field in the response containing a URI reference for the different URI.,"When the server is responding with a temporary redirection (e.g., 307 Temporary Redirect) indicating that the target resource resides under a different URI",The server SHOULD generate a Location header field in the response containing a URI reference for the different URI,Server,SHOULD,The server SHOULD generate a Location header field in the response containing a URI reference for the different URI. The user agent MAY use the Location field value for automatic redirection. The server's response content usually contains a short hypertext note with a hyperlink to the different URI(s).,"The 307 (Temporary Redirect) status code indicates that the target resource resides temporarily under a different URI and the user agent MUST NOT change the request method if it performs an automatic redirection to that URI. Since the redirection can change over time, the client ought to continue using the original target URI for future requests.",,15.4.8,307 Temporary Redirect,3,2,1,,Location,,,,,SHOULD
The server SHOULD generate a Location header field in the response containing a preferred URI reference for the new permanent URI.,"When the server is issuing a response for a new permanent URI assignment (e.g., in a 308 Permanent Redirect response)",The server SHOULD generate a Location header field in the response containing a preferred URI reference for the new permanent URI.,Server,SHOULD,The server SHOULD generate a Location header field in the response containing a preferred URI reference for the new permanent URI. The user agent MAY use the Location field value for automatic redirection. The server's response content usually contains a short hypertext note with a hyperlink to the new URI(s).,"The 308 (Permanent Redirect) status code indicates that the target resource has been assigned a new permanent URI and any future references to this resource ought to use one of the enclosed URIs. The server is suggesting that a user agent with link-editing capability can permanently replace references to the target URI with one of the new references sent by the server. However, this suggestion is usually ignored unless the user agent is actively editing references (e.g., engaged in authoring content), the connection is secured, and the origin server is a trusted authority for the content being edited.","A 308 response is heuristically cacheable; i.e., unless otherwise indicated by the method definition or explicit cache controls (see Section 4.2.2 of [CACHING]).",15.4.9,308 Permanent Redirect,3,2,1,,Location,,,,,SHOULD
"Except when responding to a HEAD request, the server SHOULD send a representation containing an explanation of the error situation, and whether it is a temporary or permanent condition.",The request is not a HEAD request.,The server SHOULD send a representation containing an explanation of the error situation and whether it is a temporary or permanent condition.,Server,SHOULD,"The 4xx (Client Error) class of status code indicates that the client seems to have erred. Except when responding to a HEAD request, the server SHOULD send a representation containing an explanation of the error situation, and whether it is a temporary or permanent condition. These status codes are applicable to any request method. User agents SHOULD display any included representation to the user.",,,15.5,Client Error 4xx,2,1,2,,,,HEAD,,,SHOULD
The server generating a 401 response MUST send a WWW-Authenticate header field (Section 11.6.1) containing at least one challenge applicable to the target resource.,A 401 (Unauthorized) response is being generated by the server,The server MUST send a WWW-Authenticate header field (Section 11.6.1) containing at least one challenge applicable to the target resource,Server,MUST,The 401 (Unauthorized) status code indicates that the request has not been applied because it lacks valid authentication credentials for the target resource. The server generating a 401 response MUST send a WWW-Authenticate header field (Section 11.6.1) containing at least one challenge applicable to the target resource.,,"If the request included authentication credentials, then the 401 response indicates that authorization has been refused for those credentials. The user agent MAY repeat the request with a new or replaced Authorization header field (Section 11.6.2). If the 401 response contains the same challenge as the prior response, and the user agent has already attempted authentication at least once, then the user agent SHOULD present the enclosed representation to the user, since it usually contains relevant diagnostic information.",15.5.2,401 Unauthorized,3,1,2,401,WWW-Authenticate,,,,,MUST
"An origin server that wishes to ""hide"" the current existence of a forbidden target resource MAY instead respond with a status code of 404 (Not Found).",An origin server that wishes to 'hide' the current existence of a forbidden target resource,Respond with a status code of 404 (Not Found),Origin Server,MAY,"An origin server that wishes to ""hide"" the current existence of a forbidden target resource MAY instead respond with a status code of 404 (Not Found).","If authentication credentials were provided in the request, the server considers them insufficient to grant access. The client SHOULD NOT automatically repeat the request with the same credentials. The client MAY repeat the request with new or different credentials. However, a request might be forbidden for reasons unrelated to the credentials.",,15.5.4,403 Forbidden,3,3,1,"302,404",,,,,,MAY
The origin server MUST generate an Allow header field in a 405 response containing a list of the target resource's currently supported methods.,When the origin server returns a 405 (Method Not Allowed) response,The origin server MUST generate an Allow header field in the 405 response containing a list of the target resource's currently supported methods,Origin Server,MUST,The 405 (Method Not Allowed) status code indicates that the method received in the request-line is known by the origin server but not supported by the target resource. The origin server MUST generate an Allow header field in a 405 response containing a list of the target resource's currently supported methods.,,"A 405 response is heuristically cacheable; i.e., unless otherwise indicated by the method definition or explicit cache controls (see Section 4.2.2 of [CACHING]).",15.5.6,405 Method Not Allowed,3,1,2,405,Allow,,,,,MUST
"If the condition is temporary, the server SHOULD generate a Retry-After header field to indicate that it is temporary and after what time the client MAY try again.",The condition is temporary.,The server SHOULD generate a Retry-After header field to indicate that it is temporary and to specify after what time the client MAY try again.,Server,"SHOULD, MAY","If the condition is temporary, the server SHOULD generate a Retry-After header field to indicate that it is temporary and after what time the client MAY try again.","The 413 (Content Too Large) status code indicates that the server is refusing to process a request because the request content is larger than the server is willing or able to process. The server MAY terminate the request, if the protocol version in use allows it; otherwise, the server MAY close the connection.",,15.5.14,413 Content Too Large,3,2,1,,Retry-After,,,,,SHOULD
A server that generates a 416 response to a byte-range request SHOULD generate a Content-Range header field specifying the current length of the selected representation (Section 14.4).,A server generates a 416 response to a byte-range request,The server SHOULD generate a Content-Range header field specifying the current length of the selected representation,Server,SHOULD,A server that generates a 416 response to a byte-range request SHOULD generate a Content-Range header field specifying the current length of the selected representation (Section 14.4).,"Each range unit defines what is required for its own range sets to be satisfiable. For example, Section 14.1.2 defines what makes a bytes range set satisfiable.",For example:,15.5.17,416 Range Not Satisfiable,3,3,1,416,"Content-Range,Range",,,,,SHOULD
The server MUST send an Upgrade header field in a 426 response to indicate the required protocol(s) (Section 7.8).,The response is a 426 (Upgrade Required) response produced by the server.,The server MUST send an Upgrade header field in the 426 response to indicate the required protocol(s) (Section 7.8).,Server,MUST,The 426 (Upgrade Required) status code indicates that the server refuses to perform the request using the current protocol but might be willing to do so after the client upgrades to a different protocol. The server MUST send an Upgrade header field in a 426 response to indicate the required protocol(s) (Section 7.8).,,Example:,15.5.22,426 Upgrade Required,3,1,2,426,Upgrade,,,,,MUST
"Except when responding to a HEAD request, the server SHOULD send a representation containing an explanation of the error situation, and whether it is a temporary or permanent condition.","The response is not for a HEAD request (i.e., when responding to any request method other than HEAD)",The server SHOULD send a representation that includes an explanation of the error situation and also indicates whether the error is temporary or permanent,Server,SHOULD,"The 5xx (Server Error) class of status code indicates that the server is aware that it has erred or is incapable of performing the requested method. Except when responding to a HEAD request, the server SHOULD send a representation containing an explanation of the error situation, and whether it is a temporary or permanent condition. A user agent SHOULD display any included representation to the user. These status codes are applicable to any request method.",,,15.6,Server Error 5xx,2,1,2,,,,HEAD,,,SHOULD
The server MAY send a Retry-After header field (Section 10.2.3) to suggest an appropriate amount of time for the client to wait before retrying the request.,"The server is unable to handle the request, indicated by a 503 (Service Unavailable) status due to temporary overload or scheduled maintenance.",The server MAY send a Retry-After header field (Section 10.2.3) to suggest an appropriate amount of time for the client to wait before retrying the request.,Server,MAY,"The 503 (Service Unavailable) status code indicates that the server is currently unable to handle the request due to a temporary overload or scheduled maintenance, which will likely be alleviated after some delay. The server MAY send a Retry-After header field (Section 10.2.3) to suggest an appropriate amount of time for the client to wait before retrying the request.",,,15.6.4,503 Service Unavailable,3,1,2,,Retry-After,,,,,MAY
The server SHOULD generate a representation for the 505 response that describes why that version is not supported and what other protocols are supported by that server.,"A request uses an HTTP major version that the server does not support, triggering a 505 (HTTP Version Not Supported) response.",The server SHOULD generate a representation for the 505 response that describes why that version is not supported and what other protocols are supported by the server.,Server,SHOULD,"The 505 (HTTP Version Not Supported) status code indicates that the server does not support, or refuses to support, the major version of HTTP that was used in the request message. The server is indicating that it is unable or unwilling to complete the request using the same major version as the client, as described in Section 2.5, other than with this error message. The server SHOULD generate a representation for the 505 response that describes why that version is not supported and what other protocols are supported by that server.",,,15.6.6,505 HTTP Version Not Supported,3,1,3,505,,,,,,SHOULD
"Although the line terminator for the start-line and fields is the sequence CRLF, a recipient MAY recognize a single LF as a line terminator and ignore any preceding CR.","When a recipient receives a line termination that consists of a single LF, possibly preceded by a CR.",The recipient MAY recognize the single LF as the line terminator and ignore any preceding CR.,Recipient,MAY,"Although the line terminator for the start-line and fields is the sequence CRLF, a recipient MAY recognize a single LF as a line terminator and ignore any preceding CR.","A recipient MUST parse an HTTP message as a sequence of octets in an encoding that is a superset of US-ASCII [USASCII]. Parsing an HTTP message as a stream of Unicode characters, without regard for the specific encoding, creates security vulnerabilities due to the varying ways that string processing libraries handle invalid multibyte character sequences that contain the octet LF (%x0A). String-based parsers can only be safely used within protocol elements after the element has been extracted from the message, such as within a header field line value after message parsing has delineated the individual field lines.",A sender MUST NOT generate a bare CR (a CR character not immediately followed by LF) within any protocol elements other than the content. A recipient of such a bare CR MUST consider that element to be invalid or replace each bare CR with SP before processing the element or forwarding the message.,2.2,Message Parsing,2,3,1,,,,,"CR,LF,CRLF",,MAY
A sender MUST NOT generate a bare CR (a CR character not immediately followed by LF) within any protocol elements other than the content,"When generating any protocol element other than the content, involving a CR character that is not immediately followed by LF",The sender MUST NOT generate a bare CR (a CR character not immediately followed by LF),"Sender,Recipient",MUST NOT,A sender MUST NOT generate a bare CR (a CR character not immediately followed by LF) within any protocol elements other than the content. A recipient of such a bare CR MUST consider that element to be invalid or replace each bare CR with SP before processing the element or forwarding the message.,"Although the line terminator for the start-line and fields is the sequence CRLF, a recipient MAY recognize a single LF as a line terminator and ignore any preceding CR.","Older HTTP/1.0 user agent implementations might send an extra CRLF after a POST request as a workaround for some early server applications that failed to read message body content that was not terminated by a line-ending. An HTTP/1.1 user agent MUST NOT preface or follow a request with an extra CRLF. If terminating the request message body with a line-ending is desired, then the user agent MUST count the terminating CRLF octets as part of the message body length.",2.2,Message Parsing,2,4,1,,,,,"CR,LF",,MUST
A recipient of such a bare CR MUST consider that element to be invalid or replace each bare CR with SP before processing the element or forwarding the message.,A bare CR (a CR character not immediately followed by LF) is encountered within any protocol element (excluding the content).,Consider the element invalid or replace each bare CR with SP before processing the element or forwarding the message.,Recipient,MUST,A sender MUST NOT generate a bare CR (a CR character not immediately followed by LF) within any protocol elements other than the content. A recipient of such a bare CR MUST consider that element to be invalid or replace each bare CR with SP before processing the element or forwarding the message.,"Although the line terminator for the start-line and fields is the sequence CRLF, a recipient MAY recognize a single LF as a line terminator and ignore any preceding CR.","Older HTTP/1.0 user agent implementations might send an extra CRLF after a POST request as a workaround for some early server applications that failed to read message body content that was not terminated by a line-ending. An HTTP/1.1 user agent MUST NOT preface or follow a request with an extra CRLF. If terminating the request message body with a line-ending is desired, then the user agent MUST count the terminating CRLF octets as part of the message body length.",2.2,Message Parsing,2,4,2,,,,,"CR,SP",,MUST
"In the interest of robustness, a server that is expecting to receive and parse a request-line SHOULD ignore at least one empty line (CRLF) received prior to the request-line.",A server that is expecting to receive and parse a request-line receives an empty line (CRLF) prior to the request-line.,The server SHOULD ignore at least one empty line (CRLF) received prior to the request-line.,Server,SHOULD,"In the interest of robustness, a server that is expecting to receive and parse a request-line SHOULD ignore at least one empty line (CRLF) received prior to the request-line.","Older HTTP/1.0 user agent implementations might send an extra CRLF after a POST request as a workaround for some early server applications that failed to read message body content that was not terminated by a line-ending. An HTTP/1.1 user agent MUST NOT preface or follow a request with an extra CRLF. If terminating the request message body with a line-ending is desired, then the user agent MUST count the terminating CRLF octets as part of the message body length.",A sender MUST NOT send whitespace between the start-line and the first header field.,2.2,Message Parsing,2,6,1,,,,,CRLF,,SHOULD
"When a server listening only for HTTP request messages, or processing what appears from the start-line to be an HTTP request message, receives a sequence of octets that does not match the HTTP-message grammar aside from the robustness exceptions listed above, the server SHOULD respond with a 400 (Bad Request) response and close the connection.",A server that is either listening only for HTTP request messages or processing what appears from the start-line to be an HTTP request message receives a sequence of octets that does not match the HTTP-message grammar aside from the robustness exceptions listed above.,The server SHOULD respond with a 400 (Bad Request) response and close the connection.,Server,SHOULD,"When a server listening only for HTTP request messages, or processing what appears from the start-line to be an HTTP request message, receives a sequence of octets that does not match the HTTP-message grammar aside from the robustness exceptions listed above, the server SHOULD respond with a 400 (Bad Request) response and close the connection.","A recipient that receives whitespace between the start-line and the first header field MUST either reject the message as invalid or consume each whitespace-preceded line without further processing of it (i.e., ignore the entire line, along with any subsequent lines preceded by whitespace, until a properly formed header field is received or the header section is terminated). Rejection or removal of invalid whitespace-preceded lines is necessary to prevent their misinterpretation by downstream recipients that might be vulnerable to request smuggling (Section 11.2) or response splitting (Section 11.1) attacks.",,2.2,Message Parsing,2,9,1,400,,,,,,SHOULD
"Such protocol downgrades SHOULD NOT be performed unless triggered by specific client attributes, such as when one or more of the request header fields (e.g., User-Agent) uniquely match the values sent by a client known to be in error.","Protocol downgrade is triggered only when specific client attributes are present, for example when one or more request header fields (e.g., User-Agent) uniquely match the values sent by a client known to be in error.",Do not perform protocol downgrades unless the trigger condition based on specific client attributes is met.,Server,SHOULD NOT,"A server MAY send an HTTP/1.0 response to an HTTP/1.1 request if it is known or suspected that the client incorrectly implements the HTTP specification and is incapable of correctly processing later version responses, such as when a client fails to parse the version number correctly or when an intermediary is known to blindly forward the HTTP-version even when it doesn't conform to the given minor version of the protocol. Such protocol downgrades SHOULD NOT be performed unless triggered by specific client attributes, such as when one or more of the request header fields (e.g., User-Agent) uniquely match the values sent by a client known to be in error.","Intermediaries that process HTTP messages (i.e., all intermediaries other than those acting as tunnels) MUST send their own HTTP-version in forwarded messages, unless it is purposefully downgraded as a workaround for an upstream issue. In other words, an intermediary is not allowed to blindly forward the start-line without ensuring that the protocol version in that message matches a version to which that intermediary is conformant for both the receiving and sending of messages. Forwarding an HTTP message without rewriting the HTTP-version might result in communication errors when downstream recipients use the message sender's version to determine what features are safe to use for later communication with that sender.",,2.3,HTTP Version,2,5,2,,User-Agent,,,,,SHOULD
"Although the request-line grammar rule requires that each of the component elements be separated by a single SP octet, recipients MAY instead parse on whitespace-delimited word boundaries and, aside from the CRLF terminator, treat any form of whitespace as the SP separator while ignoring preceding or trailing whitespace; such whitespace includes one or more of the following octets: SP, HTAB, VT (%x0B), FF (%x0C), or bare CR.",When parsing the HTTP request-line instead of strictly enforcing a single SP octet as the separator between its components.,"Recipients MAY parse the request-line using whitespace-delimited word boundaries by treating any form of whitespace (i.e. one or more of SP, HTAB, VT (%x0B), FF (%x0C), or bare CR) as the separator (excluding the CRLF terminator) and ignoring any preceding or trailing whitespace.",Recipient,MAY,"Although the request-line grammar rule requires that each of the component elements be separated by a single SP octet, recipients MAY instead parse on whitespace-delimited word boundaries and, aside from the CRLF terminator, treat any form of whitespace as the SP separator while ignoring preceding or trailing whitespace; such whitespace includes one or more of the following octets: SP, HTAB, VT (%x0B), FF (%x0C), or bare CR. However, lenient parsing can result in request smuggling security vulnerabilities if there are multiple recipients of the message and each has its own unique interpretation of robustness (see Section 11.2).","A request-line begins with a method token, followed by a single space (SP), the request-target, and another single space (SP), and ends with the protocol version.","HTTP does not place a predefined limit on the length of a request-line, as described in Section 2.3 of [HTTP]. A server that receives a method longer than any that it implements SHOULD respond with a 501 (Not Implemented) status code. A server that receives a request-target longer than any URI it wishes to parse MUST respond with a 414 (URI Too Long) status code (see Section 15.5.15 of [HTTP]).",3,Request Line,1,2,1,,,,,"CR,CRLF,SP",,MAY
A server that receives a method longer than any that it implements SHOULD respond with a 501 (Not Implemented) status code.,A server receives a method longer than any that it implements.,The server SHOULD respond with a 501 (Not Implemented) status code.,Server,SHOULD,"HTTP does not place a predefined limit on the length of a request-line, as described in Section 2.3 of [HTTP]. A server that receives a method longer than any that it implements SHOULD respond with a 501 (Not Implemented) status code. A server that receives a request-target longer than any URI it wishes to parse MUST respond with a 414 (URI Too Long) status code (see Section 15.5.15 of [HTTP]).","Although the request-line grammar rule requires that each of the component elements be separated by a single SP octet, recipients MAY instead parse on whitespace-delimited word boundaries and, aside from the CRLF terminator, treat any form of whitespace as the SP separator while ignoring preceding or trailing whitespace; such whitespace includes one or more of the following octets: SP, HTAB, VT (%x0B), FF (%x0C), or bare CR. However, lenient parsing can result in request smuggling security vulnerabilities if there are multiple recipients of the message and each has its own unique interpretation of robustness (see Section 11.2).","Various ad hoc limitations on request-line length are found in practice. It is RECOMMENDED that all HTTP senders and recipients support, at a minimum, request-line lengths of 8000 octets.",3,Request Line,1,3,2,501,,,,,,SHOULD
A server that receives a request-target longer than any URI it wishes to parse MUST respond with a 414 (URI Too Long) status code (see Section 15.5.15 of [HTTP]).,Server receives a request-target longer than any URI it wishes to parse,Server MUST respond with a 414 (URI Too Long) status code,Server,MUST,"HTTP does not place a predefined limit on the length of a request-line, as described in Section 2.3 of [HTTP]. A server that receives a method longer than any that it implements SHOULD respond with a 501 (Not Implemented) status code. A server that receives a request-target longer than any URI it wishes to parse MUST respond with a 414 (URI Too Long) status code (see Section 15.5.15 of [HTTP]).","Although the request-line grammar rule requires that each of the component elements be separated by a single SP octet, recipients MAY instead parse on whitespace-delimited word boundaries and, aside from the CRLF terminator, treat any form of whitespace as the SP separator while ignoring preceding or trailing whitespace; such whitespace includes one or more of the following octets: SP, HTAB, VT (%x0B), FF (%x0C), or bare CR. However, lenient parsing can result in request smuggling security vulnerabilities if there are multiple recipients of the message and each has its own unique interpretation of robustness (see Section 11.2).","Various ad hoc limitations on request-line length are found in practice. It is RECOMMENDED that all HTTP senders and recipients support, at a minimum, request-line lengths of 8000 octets.",3,Request Line,1,3,3,414,,,,,,MUST
Recipients of an invalid request-line SHOULD respond with either a 400 (Bad Request) error or a 301 (Moved Permanently) redirect with the request-target properly encoded.,"The request-line is invalid (e.g., due to improperly encoded request-target, such as containing disallowed whitespace).","Recipients SHOULD respond with either a 400 (Bad Request) error or a 301 (Moved Permanently) redirect with the request-target properly encoded.,Recipients SHOULD NOT attempt to autocorrect and then process the request without a redirect.",Recipient,SHOULD,"Recipients of an invalid request-line SHOULD respond with either a 400 (Bad Request) error or a 301 (Moved Permanently) redirect with the request-target properly encoded. A recipient SHOULD NOT attempt to autocorrect and then process the request without a redirect, since the invalid request-line might be deliberately crafted to bypass security filters along the request chain.","No whitespace is allowed in the request-target. Unfortunately, some user agents fail to properly encode or exclude whitespace found in hypertext references, resulting in those disallowed characters being sent as the request-target in a malformed request-line.","A client MUST send a Host header field (Section 7.2 of [HTTP]) in all HTTP/1.1 request messages. If the target URI includes an authority component, then a client MUST send a field value for Host that is identical to that authority component, excluding any userinfo subcomponent and its ""@"" delimiter (Section 4.2 of [HTTP]). If the authority component is missing or undefined for the target URI, then a client MUST send a Host header field with an empty field value.",3.2,Request Target,2,3,1,"301,400",,,,,,SHOULD
A server MUST respond with a 400 (Bad Request) status code to any HTTP/1.1 request message that lacks a Host header field and to any request message that contains more than one Host header field line or a Host header field with an invalid field value.,"HTTP/1.1 request message lacks a Host header field,HTTP/1.1 request message contains more than one Host header field line,HTTP/1.1 request message contains a Host header field with an invalid field value",Server MUST respond with a 400 (Bad Request) status code,Server,MUST,A server MUST respond with a 400 (Bad Request) status code to any HTTP/1.1 request message that lacks a Host header field and to any request message that contains more than one Host header field line or a Host header field with an invalid field value.,"A client MUST send a Host header field (Section 7.2 of [HTTP]) in all HTTP/1.1 request messages. If the target URI includes an authority component, then a client MUST send a field value for Host that is identical to that authority component, excluding any userinfo subcomponent and its ""@"" delimiter (Section 4.2 of [HTTP]). If the authority component is missing or undefined for the target URI, then a client MUST send a Host header field with an empty field value.",,3.2,Request Target,2,5,1,400,Host,,,,,MUST
"When an origin server receives a request with an absolute-form of request-target, the origin server MUST ignore the received Host header field (if any) and instead use the host information of the request-target.",When an origin server receives a request with an absolute-form of request-target,The origin server MUST ignore the received Host header field (if any) and instead use the host information of the request-target,Origin Server,MUST,"When an origin server receives a request with an absolute-form of request-target, the origin server MUST ignore the received Host header field (if any) and instead use the host information of the request-target. Note that if the request-target does not have an authority component, an empty Host header field will be sent in this case.","When a proxy receives a request with an absolute-form of request-target, the proxy MUST ignore the received Host header field (if any) and instead replace it with the host information of the request-target. A proxy that forwards such a request MUST generate a new Host field value based on the received request-target rather than forward the received Host field value.",A server MUST accept the absolute-form in requests even though most HTTP/1.1 clients will only send the absolute-form to a proxy.,3.2.2,absolute-form,3,7,1,,Host,,,,,MUST
A server that can uniquely identify an authority from the request context MAY use that identity as a default without this risk,The server can uniquely identify an authority from the request context.,The server MAY use that identified authority as the default without incurring the risk associated with using a potentially incorrect default.,Server,MAY,"Supplying a default name for authority within the context of a secured connection is inherently unsafe if there is any chance that the user agent's intended authority might differ from the default. A server that can uniquely identify an authority from the request context MAY use that identity as a default without this risk. Alternatively, it might be better to redirect the request to a safe resource that explains how to obtain a new client.","If the target URI's authority component is empty and its URI scheme requires a non-empty authority (as is the case for ""http"" and ""https""), the server can reject the request or determine whether a configured default applies that is consistent with the incoming connection's context. Context might include connection details like address and port, what security has been applied, and locally defined information specific to that server's configuration. An empty authority is replaced with the configured default before further processing of the request.","Note that reconstructing the client's target URI is only half of the process for identifying a target resource. The other half is determining whether that target URI identifies a resource for which the server is willing and able to send a response, as defined in Section 7.4 of [HTTP].",3.3,Reconstructing the Target URI,2,14,2,,,identity,,,,MAY
"Although the status-line grammar rule requires that each of the component elements be separated by a single SP octet, recipients MAY instead parse on whitespace-delimited word boundaries and, aside from the line terminator, treat any form of whitespace as the SP separator while ignoring preceding or trailing whitespace; such whitespace includes one or more of the following octets: SP, HTAB, VT (%x0B), FF (%x0C), or bare CR.","When parsing the status‐line, the component elements may be separated by whitespace that is not strictly a single SP octet; this includes cases where there is preceding or trailing whitespace, or where multiple forms of whitespace (SP, HTAB, VT, FF, or bare CR) are used between elements.",Recipients MAY parse the status‐line on whitespace-delimited word boundaries by treating any form of whitespace (as listed) as the SP separator (aside from the line terminator) and ignoring any preceding or trailing whitespace.,Recipient,MAY,"Although the status-line grammar rule requires that each of the component elements be separated by a single SP octet, recipients MAY instead parse on whitespace-delimited word boundaries and, aside from the line terminator, treat any form of whitespace as the SP separator while ignoring preceding or trailing whitespace; such whitespace includes one or more of the following octets: SP, HTAB, VT (%x0B), FF (%x0C), or bare CR. However, lenient parsing can result in response splitting security vulnerabilities if there are multiple recipients of the message and each has its own unique interpretation of robustness (see Section 11.1).","The first line of a response message is the status-line, consisting of the protocol version, a space (SP), the status code, and another space and ending with an OPTIONAL textual phrase describing the status code.","The status-code element is a 3-digit integer code describing the result of the server's attempt to understand and satisfy the client's corresponding request. A recipient parses and interprets the remainder of the response message in light of the semantics defined for that status code, if the status code is recognized by that recipient, or in accordance with the class of that status code when the specific code is unrecognized.",4,Status Line,1,2,1,,,,,"CR,SP",,MAY
